Balancing Salve,1,Path of Waves,96,rituals
Beseech Akodo's Judgement,3,Fields of Victory,96,rituals
Beseech Bayushi's Absolution,4,Fields of Victory,96,rituals
Beseech Doji's Wisdom,2,Fields of Victory,96,rituals
Beseech Hida's Might,2,Fields of Victory,97,rituals
Beseech Shiba's Calm,3,Fields of Victory,97,rituals
Beseech Shinjo's Empathy,2,Fields of Victory,97,rituals
Beseech Togashi's Vision,3,Fields of Victory,98,rituals
Blessed Union,3,Celestial Realms,110,rituals
Blessing of Fertile Fields,2,Celestial Realms,110,rituals
Blessing of Steel,2,Shadowlands,114,rituals
Blessing of the Dance,3,Celestial Realms,110,rituals
Chikusho-do's Guile,1,Writ of the Wilds,118,rituals
Cleansing of Coral and Gold,3,Path of Waves,97,rituals
Cleansing Rite,1,Core Rulebook,212,rituals
Commune with the Spirits,1,Core Rulebook,212,rituals
Craft Shikigami,2,Shadowlands,114,rituals
Cunning Snares,2,Writ of the Wilds,119,rituals
Divination,1,Core Rulebook,212,rituals
Elixir of Recovery,2,Path of Waves,96,rituals
Formal Tea Ceremony,5,Courts of Stone,116,rituals
Fortitude Draught,3,Path of Waves,96,rituals
Guard Against the Elements,1,Writ of the Wilds,119,rituals
Hunter's Expertise,3,Writ of the Wilds,120,rituals
Imbue Thunder,4,Fields of Victory,98,rituals
Prayer of Protection,4,Celestial Realms,110,rituals
Restorative Transmutation,5,Path of Waves,96,rituals
Rite of the Wheel,2,Celestial Realms,111,rituals
Tea Ceremony,2,Core Rulebook,213,rituals
The Ties that Bind,4,Courts of Stone,117,rituals
Threshold Barrier,1,Core Rulebook,213,rituals
Trance of Lives Past,4,Writ of the Wilds,120,rituals
Treaty Signing,2,Courts of Stone,116,rituals
Wayfarer's Path,2,Path of Waves,97,rituals
Whispers to the Moon,5,Celestial Realms,111,rituals
Chikushō-dō’s Guile,1,Writ of the Wilds,118,nonhuman_rituals
Guard Against the Elements,1,Writ of the Wilds,119,nonhuman_rituals
Cunning Snares,2,Writ of the Wilds,119,nonhuman_rituals
Hunter’s Expertise,3,Writ of the Wilds,120,nonhuman_rituals
Trance of Lives Past,4,Writ of the Wilds,120,nonhuman_rituals
